,Unnamed: 0.1,Unnamed: 0,match_id,shotX,shotY,quarter,time_remaining,player,team,made,shot_type,distance,score,opp,status
0,0,0,202202240BRK,23.6,3.1,1st quarter,11:35.0,Al Horford,BOS,TRUE,2-pointer,0,2-0,'BOS',leads
1,1,1,202202240BRK,25.2,5.2,1st quarter,10:52.0,Robert Williams,BOS,TRUE,2-pointer,2,5-0,'BOS',leads
2,2,2,202202240BRK,43.2,19,1st quarter,10:15.0,Marcus Smart,BOS,TRUE,3-pointer,25,8-Feb,'BOS',leads
3,3,3,202202240BRK,39,23.2,1st quarter,09:33.0,Jaylen Brown,BOS,FALSE,3-pointer,25,8-Feb,'BOS',leads
4,4,4,202202240BRK,25.9,3.7,1st quarter,08:48.0,Jayson Tatum,BOS,TRUE,2-pointer,2,10-May,'BOS',leads
5,5,5,202202240BRK,5.3,21.2,1st quarter,07:20.0,Jayson Tatum,BOS,TRUE,3-pointer,26,16-Jul,'BOS',leads
6,6,6,202202240BRK,23.2,11.5,1st quarter,05:52.0,Jaylen Brown,BOS,TRUE,2-pointer,8,20-Oct,'BOS',leads
7,7,7,202202240BRK,25.8,3.8,1st quarter,05:27.0,Grant Williams,BOS,TRUE,2-pointer,2,22-Oct,'BOS',leads
8,8,8,202202240BRK,4.8,19.3,1st quarter,05:06.0,Jaylen Brown,BOS,FALSE,3-pointer,25,22-Oct,'BOS',leads
9,9,9,202202240BRK,14.7,27.4,1st quarter,04:49.0,Marcus Smart,BOS,TRUE,3-pointer,26,25-Nov,'BOS',leads
10,10,10,202202240BRK,20.5,4.8,1st quarter,04:10.0,Jayson Tatum,BOS,FALSE,2-pointer,4,25-13,'BOS',leads
11,11,11,202202240BRK,26.6,5.2,1st quarter,02:56.0,Derrick White,BOS,FALSE,2-pointer,3,27-15,'BOS',leads
12,12,12,202202240BRK,13,27.2,1st quarter,02:24.0,Jayson Tatum,BOS,FALSE,3-pointer,26,27-15,'BOS',leads
13,13,13,202202240BRK,38.4,24.7,1st quarter,01:27.0,Marcus Smart,BOS,TRUE,3-pointer,26,32-19,'BOS',leads
14,14,14,202202240BRK,3.3,18.2,1st quarter,01:04.0,Marcus Smart,BOS,FALSE,3-pointer,25,32-19,'BOS',leads
15,15,15,202202240BRK,34.8,25.9,1st quarter,00:34.0,Derrick White,BOS,TRUE,3-pointer,25,35-19,'BOS',leads
16,16,16,202202240BRK,46.8,3.1,1st quarter,00:04.0,Al Horford,BOS,FALSE,3-pointer,23,35-22,'BOS',leads
17,17,17,202202240BRK,37.7,24.9,2nd quarter,11:42.0,Payton Pritchard,BOS,TRUE,3-pointer,26,38-22,'BOS',leads
18,18,18,202202240BRK,29.3,28.8,2nd quarter,11:00.0,Al Horford,BOS,TRUE,3-pointer,26,41-24,'BOS',leads
19,19,19,202202240BRK,21.7,3.6,2nd quarter,10:36.0,Jaylen Brown,BOS,TRUE,2-pointer,2,43-24,'BOS',leads
20,20,20,202202240BRK,16.8,16.8,2nd quarter,10:10.0,Jaylen Brown,BOS,TRUE,2-pointer,15,45-24,'BOS',leads
21,21,21,202202240BRK,22.7,3.6,2nd quarter,09:35.0,Derrick White,BOS,TRUE,2-pointer,1,47-26,'BOS',leads
22,22,22,202202240BRK,25.9,4.2,2nd quarter,09:01.0,Grant Williams,BOS,FALSE,2-pointer,2,48-28,'BOS',leads
23,23,23,202202240BRK,34.3,26.7,2nd quarter,08:29.0,Al Horford,BOS,FALSE,3-pointer,26,48-30,'BOS',leads
24,24,24,202202240BRK,22.4,28.4,2nd quarter,08:10.0,Payton Pritchard,BOS,TRUE,3-pointer,25,51-30,'BOS',leads
25,25,25,202202240BRK,28.3,13.2,2nd quarter,07:28.0,Derrick White,BOS,FALSE,2-pointer,11,51-32,'BOS',leads
26,26,26,202202240BRK,35.1,27,2nd quarter,06:24.0,Payton Pritchard,BOS,FALSE,3-pointer,26,52-36,'BOS',leads
27,27,27,202202240BRK,21.7,30,2nd quarter,06:05.0,Payton Pritchard,BOS,FALSE,3-pointer,27,52-38,'BOS',leads
28,28,28,202202240BRK,23.9,3.8,2nd quarter,05:28.0,Robert Williams,BOS,TRUE,2-pointer,1,54-39,'BOS',leads
29,29,29,202202240BRK,37.5,25.1,2nd quarter,04:13.0,Jayson Tatum,BOS,FALSE,3-pointer,26,55-41,'BOS',leads
30,30,30,202202240BRK,26.3,3.8,2nd quarter,03:37.0,Grant Williams,BOS,FALSE,2-pointer,2,55-41,'BOS',leads
31,31,31,202202240BRK,25.7,3.8,2nd quarter,03:11.0,Jaylen Brown,BOS,FALSE,2-pointer,2,55-43,'BOS',leads
32,32,32,202202240BRK,24,3.3,2nd quarter,03:06.0,Robert Williams,BOS,TRUE,2-pointer,0,57-43,'BOS',leads
33,33,33,202202240BRK,24.2,4.3,2nd quarter,02:29.0,Jayson Tatum,BOS,TRUE,2-pointer,1,59-43,'BOS',leads
34,34,34,202202240BRK,16.6,8.3,2nd quarter,01:59.0,Jayson Tatum,BOS,FALSE,2-pointer,9,59-43,'BOS',leads
35,35,35,202202240BRK,24,3.3,2nd quarter,01:57.0,Robert Williams,BOS,FALSE,2-pointer,0,59-43,'BOS',leads
36,36,36,202202240BRK,47,14.4,2nd quarter,01:55.0,Jaylen Brown,BOS,TRUE,3-pointer,26,62-43,'BOS',leads
37,37,37,202202240BRK,23.6,10.8,2nd quarter,00:54.0,Jayson Tatum,BOS,TRUE,2-pointer,8,64-47,'BOS',leads
38,38,38,202202240BRK,45.5,26,2nd quarter,00:32.0,Marcus Smart,BOS,TRUE,3-pointer,31,67-50,'BOS',leads
39,39,39,202202240BRK,26.5,3.1,2nd quarter,00:02.0,Jayson Tatum,BOS,FALSE,2-pointer,3,67-52,'BOS',leads
40,40,40,202202240BRK,23.1,28.9,3rd quarter,11:43.0,Jayson Tatum,BOS,FALSE,3-pointer,26,67-52,'BOS',leads
41,41,41,202202240BRK,24.1,3.7,3rd quarter,11:06.0,Robert Williams,BOS,TRUE,2-pointer,0,69-52,'BOS',leads
42,42,42,202202240BRK,25.1,3.1,3rd quarter,10:40.0,Jaylen Brown,BOS,TRUE,2-pointer,1,71-54,'BOS',leads
43,43,43,202202240BRK,26.1,3.7,3rd quarter,09:56.0,Jaylen Brown,BOS,FALSE,2-pointer,2,71-56,'BOS',leads
44,44,44,202202240BRK,44.7,17.3,3rd quarter,09:41.0,Jaylen Brown,BOS,FALSE,3-pointer,25,71-56,'BOS',leads
45,45,45,202202240BRK,25.4,3.6,3rd quarter,09:32.0,Al Horford,BOS,TRUE,2-pointer,1,73-56,'BOS',leads
46,46,46,202202240BRK,0.8,-0.2,3rd quarter,08:53.0,Marcus Smart,BOS,TRUE,3-pointer,23,76-58,'BOS',leads
47,47,47,202202240BRK,26.7,28.5,3rd quarter,08:27.0,Al Horford,BOS,FALSE,3-pointer,25,76-58,'BOS',leads
48,48,48,202202240BRK,47.6,5.2,3rd quarter,08:19.0,Jayson Tatum,BOS,TRUE,3-pointer,24,79-58,'BOS',leads
49,49,49,202202240BRK,36.9,17.3,3rd quarter,07:23.0,Jaylen Brown,BOS,TRUE,2-pointer,19,81-60,'BOS',leads
50,50,50,202202240BRK,10.1,23.9,3rd quarter,06:37.0,Jaylen Brown,BOS,FALSE,3-pointer,25,81-60,'BOS',leads
51,51,51,202202240BRK,47,4.8,3rd quarter,06:15.0,Al Horford,BOS,FALSE,3-pointer,23,81-63,'BOS',leads
52,52,52,202202240BRK,0.6,1.1,3rd quarter,05:46.0,Grant Williams,BOS,FALSE,3-pointer,24,81-63,'BOS',leads
53,53,53,202202240BRK,26.8,5.4,3rd quarter,04:56.0,Derrick White,BOS,TRUE,2-pointer,4,84-65,'BOS',leads
54,54,54,202202240BRK,39.9,22.3,3rd quarter,04:22.0,Derrick White,BOS,FALSE,3-pointer,25,86-67,'BOS',leads
55,55,55,202202240BRK,22.3,24.6,3rd quarter,03:48.0,Jayson Tatum,BOS,FALSE,2-pointer,21,86-69,'BOS',leads
56,56,56,202202240BRK,24.2,28.8,3rd quarter,03:42.0,Jayson Tatum,BOS,TRUE,3-pointer,26,89-69,'BOS',leads
57,57,57,202202240BRK,25.8,5.9,3rd quarter,03:23.0,Grant Williams,BOS,TRUE,2-pointer,3,91-69,'BOS',leads
58,58,58,202202240BRK,12.2,25.5,3rd quarter,02:43.0,Derrick White,BOS,FALSE,3-pointer,25,91-69,'BOS',leads
59,59,59,202202240BRK,22.1,3.6,3rd quarter,02:09.0,Jayson Tatum,BOS,TRUE,2-pointer,2,93-72,'BOS',leads
60,60,60,202202240BRK,23.5,28.5,3rd quarter,01:44.0,Grant Williams,BOS,FALSE,3-pointer,25,93-72,'BOS',leads
61,61,61,202202240BRK,24.2,5.5,3rd quarter,01:38.0,Derrick White,BOS,FALSE,2-pointer,2,93-72,'BOS',leads
62,62,62,202202240BRK,26.1,4.6,3rd quarter,01:22.0,Al Horford,BOS,TRUE,2-pointer,2,95-72,'BOS',leads
63,63,63,202202240BRK,10.8,22.8,3rd quarter,00:35.0,Jayson Tatum,BOS,TRUE,2-pointer,24,97-74,'BOS',leads
64,64,64,202202240BRK,13.5,26.2,3rd quarter,00:04.0,Jayson Tatum,BOS,FALSE,3-pointer,25,97-74,'BOS',leads
65,65,65,202202240BRK,26.9,4.3,4th quarter,11:40.0,Grant Williams,BOS,TRUE,2-pointer,3,99-74,'BOS',leads
66,66,66,202202240BRK,27.5,17.7,4th quarter,11:08.0,Jayson Tatum,BOS,FALSE,2-pointer,15,100-74,'BOS',leads
